date,state_name,stringency_index
20200403,Florida,69.04761904761905
20200406,Florida,69.04761904761905
20200409,Florida,69.04761904761905
20200410,Florida,69.04761904761905
20200416,Florida,69.04761904761905
20200417,Florida,69.04761904761905
20200421,Florida,69.04761904761905
20200422,Florida,61.904761904761905
20200423,Florida,61.904761904761905
20200424,Florida,61.904761904761905
20200427,Florida,61.904761904761905
20200429,Florida,61.904761904761905
20200430,Florida,61.904761904761905
20200505,Florida,24.76190476190476
20200507,Florida,24.76190476190476
20200325,Georgia,28.571428571428573
20200326,Georgia,35.714285714285715
20200327,Georgia,35.714285714285715
20200330,Georgia,40.476190476190474
20200401,Georgia,40.476190476190474
20200403,Georgia,61.90476190476191
20200406,Georgia,61.90476190476191
20200409,Georgia,61.90476190476191
20200410,Georgia,61.90476190476191
20200416,Georgia,61.90476190476191
20200417,Georgia,61.90476190476191
20200421,Georgia,66.19047619047619
20200422,Georgia,66.19047619047619
20200423,Georgia,66.19047619047619
20200424,Georgia,66.19047619047619
20200427,Georgia,66.19047619047619
20200429,Georgia,66.19047619047619
20200430,Georgia,66.19047619047619
20200505,Georgia,46.1904761904762
20200507,Georgia,46.1904761904762
20200325,Hawaii,54.761904761904766
20200326,Hawaii,69.04761904761905
20200327,Hawaii,69.04761904761905
20200330,Hawaii,83.33333333333334
20200401,Hawaii,83.33333333333334
20200403,Hawaii,83.33333333333334
20200406,Hawaii,83.33333333333334
20200409,Hawaii,83.33333333333334
20200410,Hawaii,83.33333333333334
20200416,Hawaii,83.33333333333334
20200417,Hawaii,83.33333333333334
20200421,Hawaii,83.33333333333334
20200422,Hawaii,83.33333333333334
20200423,Hawaii,83.33333333333334
20200424,Hawaii,83.33333333333334
20200427,Hawaii,83.33333333333334
20200429,Hawaii,83.33333333333334
20200430,Hawaii,83.33333333333334
20200505,Hawaii,83.33333333333334
20200507,Hawaii,74.76190476190477
20200325,Idaho,0.0
20200326,Idaho,57.142857142857146
20200327,Idaho,71.42857142857143
20200330,Idaho,71.42857142857143
20200401,Idaho,71.42857142857143
20200403,Idaho,71.42857142857143
20200406,Idaho,71.42857142857143
20200409,Idaho,71.42857142857143
20200410,Idaho,71.42857142857143
20200416,Idaho,85.71428571428571
20200417,Idaho,85.71428571428571
20200421,Idaho,85.71428571428571
20200422,Idaho,78.57142857142857
20200423,Idaho,78.57142857142857
20200424,Idaho,78.57142857142857
20200427,Idaho,78.57142857142857
20200429,Idaho,78.57142857142857
20200430,Idaho,78.57142857142857
20200505,Idaho,41.42857142857143
20200507,Idaho,41.42857142857143
20200325,Illinois,57.142857142857146
20200326,Illinois,71.42857142857143
20200327,Illinois,71.42857142857143
20200330,Illinois,71.42857142857143
20200401,Illinois,71.42857142857143
20200403,Illinois,71.42857142857143
20200406,Illinois,71.42857142857143
20200409,Illinois,71.42857142857143
20200410,Illinois,71.42857142857143
20200416,Illinois,71.42857142857143
20200417,Illinois,71.42857142857143
20200421,Illinois,71.42857142857143
20200422,Illinois,71.42857142857143
20200423,Illinois,71.42857142857143
20200424,Illinois,71.42857142857143
20200427,Illinois,71.42857142857143
20200429,Illinois,71.42857142857143
20200430,Illinois,71.42857142857143
20200505,Illinois,71.42857142857143
20200507,Illinois,71.42857142857143
20200325,Indiana,64.28571428571429
20200326,Indiana,78.57142857142857
20200327,Indiana,78.57142857142857
20200330,Indiana,78.57142857142857
20200401,Indiana,78.57142857142857
20200403,Indiana,78.57142857142857
20200406,Indiana,78.57142857142857
20200409,Indiana,78.57142857142857
20200410,Indiana,78.57142857142857
20200416,Indiana,78.57142857142857
20200417,Indiana,78.57142857142857
20200421,Indiana,78.57142857142857
20200422,Indiana,78.57142857142857
20200423,Indiana,78.57142857142857
20200424,Indiana,78.57142857142857
20200427,Indiana,78.57142857142857
20200429,Indiana,78.57142857142857
20200430,Indiana,78.57142857142857
20200505,Indiana,48.57142857142857
20200507,Indiana,48.57142857142857
20200325,Iowa,26.190476190476193
20200326,Iowa,26.190476190476193
